"","route_id","route_short_name","arrival_time","time_window","n"
"1",1,1,6,"6:00",1
"2",1,1,7,"7:00",3
"3",1,1,8,"8:00",3
"4",1,1,9,"9:00",2
"5",1,1,10,"10:00",2
"6",1,1,11,"11:00",1
"7",1,1,12,"12:00",2
"8",1,1,13,"13:00",2
"9",1,1,14,"14:00",3
"10",1,1,15,"15:00",4
"11",1,1,16,"16:00",4
"12",1,1,17,"17:00",2
"13",1,1,18,"18:00",2
"14",1,1,19,"19:00",1
"15",1,1,20,"20:00",1
"16",1,1,21,"21:00",1
"17",1,1,22,"22:00",1
"18",1,1,23,"23:00",1
"19",2,2,6,"6:00",1
"20",2,2,7,"7:00",2
"21",2,2,8,"8:00",4
"22",2,2,9,"9:00",2
"23",2,2,10,"10:00",2
"24",2,2,11,"11:00",2
"25",2,2,12,"12:00",2
"26",2,2,13,"13:00",2
"27",2,2,14,"14:00",2
"28",2,2,15,"15:00",3
"29",2,2,16,"16:00",3
"30",2,2,17,"17:00",2
"31",2,2,18,"18:00",2
"32",2,2,19,"19:00",1
"33",2,2,20,"20:00",1
"34",2,2,21,"21:00",1
"35",2,2,22,"22:00",1
"36",2,2,23,"23:00",1
"37",3,3,6,"6:00",1
"38",3,3,7,"7:00",2
"39",3,3,8,"8:00",3
"40",3,3,9,"9:00",2
"41",3,3,10,"10:00",2
"42",3,3,11,"11:00",2
"43",3,3,12,"12:00",2
"44",3,3,13,"13:00",2
"45",3,3,14,"14:00",2
"46",3,3,15,"15:00",2
"47",3,3,16,"16:00",3
"48",3,3,17,"17:00",2
"49",3,3,18,"18:00",2
"50",3,3,19,"19:00",2
"51",3,3,20,"20:00",1
"52",3,3,21,"21:00",1
"53",3,3,22,"22:00",2
"54",3,3,23,"23:00",1
"55",5,5,19,"19:00",1
"56",5,5,20,"20:00",1
"57",5,5,21,"21:00",1
"58",5,5,22,"22:00",1
"59",6,6,6,"6:00",1
"60",6,6,7,"7:00",1
"61",6,6,8,"8:00",1
"62",6,6,9,"9:00",1
"63",6,6,10,"10:00",1
"64",6,6,11,"11:00",1
"65",6,6,12,"12:00",1
"66",6,6,13,"13:00",1
"67",6,6,14,"14:00",1
"68",6,6,15,"15:00",1
"69",6,6,16,"16:00",1
"70",6,6,17,"17:00",1
"71",6,6,18,"18:00",1
"72",6,6,19,"19:00",1
"73",9,9,7,"7:00",1
"74",9,9,8,"8:00",1
"75",9,9,9,"9:00",1
"76",9,9,10,"10:00",1
"77",9,9,11,"11:00",1
"78",9,9,12,"12:00",1
"79",9,9,13,"13:00",1
"80",9,9,14,"14:00",1
"81",9,9,15,"15:00",1
"82",9,9,16,"16:00",1
"83",9,9,17,"17:00",1
"84",10,10,6,"6:00",3
"85",10,10,7,"7:00",2
"86",10,10,8,"8:00",2
"87",10,10,9,"9:00",2
"88",10,10,10,"10:00",2
"89",10,10,11,"11:00",2
"90",10,10,12,"12:00",2
"91",10,10,13,"13:00",2
"92",10,10,14,"14:00",2
"93",10,10,15,"15:00",3
"94",10,10,16,"16:00",4
"95",10,10,17,"17:00",3
"96",10,10,18,"18:00",2
"97",10,10,19,"19:00",1
"98",10,10,20,"20:00",2
"99",10,10,21,"21:00",1
"100",10,10,22,"22:00",1
"101",10,10,23,"23:00",1
"102",11,11,7,"7:00",1
"103",11,11,8,"8:00",1
"104",11,11,9,"9:00",1
"105",11,11,10,"10:00",1
"106",11,11,11,"11:00",1
"107",11,11,12,"12:00",1
"108",11,11,13,"13:00",1
"109",11,11,14,"14:00",1
"110",11,11,15,"15:00",1
"111",11,11,16,"16:00",1
"112",11,11,17,"17:00",1
"113",12,12,7,"7:00",2
"114",12,12,8,"8:00",2
"115",12,12,9,"9:00",2
"116",12,12,10,"10:00",2
"117",12,12,11,"11:00",2
"118",12,12,12,"12:00",2
"119",12,12,13,"13:00",2
"120",12,12,14,"14:00",2
"121",12,12,15,"15:00",2
"122",12,12,16,"16:00",2
"123",12,12,17,"17:00",1
"124",12,12,18,"18:00",2
"125",12,12,19,"19:00",1
"126",12,12,20,"20:00",1
"127",12,12,21,"21:00",1
"128",12,12,22,"22:00",1
"129",12,12,23,"23:00",1
"130",14,14,7,"7:00",1
"131",14,14,8,"8:00",1
"132",14,14,9,"9:00",1
"133",14,14,10,"10:00",1
"134",14,14,11,"11:00",1
"135",14,14,12,"12:00",1
"136",14,14,13,"13:00",1
"137",14,14,14,"14:00",1
"138",14,14,15,"15:00",1
"139",14,14,16,"16:00",1
"140",14,14,17,"17:00",1
"141",14,14,18,"18:00",1
"142",14,14,19,"19:00",1
"143",14,14,20,"20:00",1
"144",14,14,21,"21:00",1
"145",15,15,6,"6:00",1
"146",15,15,7,"7:00",2
"147",15,15,8,"8:00",2
"148",15,15,9,"9:00",2
"149",15,15,10,"10:00",2
"150",15,15,11,"11:00",2
"151",15,15,12,"12:00",2
"152",15,15,13,"13:00",2
"153",15,15,14,"14:00",2
"154",15,15,15,"15:00",2
"155",15,15,16,"16:00",2
"156",15,15,17,"17:00",2
"157",15,15,18,"18:00",1
"158",15,15,19,"19:00",1
"159",15,15,20,"20:00",1
"160",15,15,21,"21:00",1
"161",15,15,22,"22:00",1
"162",16,16,7,"7:00",1
"163",16,16,8,"8:00",1
"164",16,16,9,"9:00",1
"165",16,16,10,"10:00",1
"166",16,16,11,"11:00",1
"167",16,16,12,"12:00",1
"168",16,16,13,"13:00",1
"169",16,16,14,"14:00",1
"170",16,16,15,"15:00",1
"171",16,16,16,"16:00",1
"172",16,16,17,"17:00",1
"173",16,16,18,"18:00",1
"174",16,16,19,"19:00",1
"175",16,16,20,"20:00",1
"176",16,16,21,"21:00",1
"177",16,16,22,"22:00",1
"178",18,18,6,"6:00",1
"179",18,18,7,"7:00",2
"180",18,18,8,"8:00",1
"181",18,18,9,"9:00",1
"182",18,18,10,"10:00",1
"183",18,18,11,"11:00",1
"184",18,18,12,"12:00",1
"185",18,18,13,"13:00",1
"186",18,18,14,"14:00",1
"187",18,18,15,"15:00",2
"188",18,18,16,"16:00",2
"189",18,18,17,"17:00",1
"190",18,18,18,"18:00",2
"191",18,18,19,"19:00",1
"192",18,18,20,"20:00",1
"193",18,18,21,"21:00",1
"194",18,18,22,"22:00",1
"195",18,18,23,"23:00",1
"196",19,19,7,"7:00",2
"197",19,19,8,"8:00",2
"198",19,19,9,"9:00",2
"199",19,19,10,"10:00",2
"200",19,19,11,"11:00",2
"201",19,19,12,"12:00",2
"202",19,19,13,"13:00",2
"203",19,19,14,"14:00",2
"204",19,19,15,"15:00",2
"205",19,19,16,"16:00",2
"206",19,19,17,"17:00",1
"207",19,19,18,"18:00",2
"208",19,19,19,"19:00",1
"209",19,19,20,"20:00",1
"210",19,19,21,"21:00",1
"211",19,19,22,"22:00",1
"212",19,19,23,"23:00",1
"213",20,20,7,"7:00",1
"214",20,20,8,"8:00",1
"215",20,20,9,"9:00",1
"216",20,20,10,"10:00",1
"217",20,20,11,"11:00",1
"218",20,20,12,"12:00",1
"219",20,20,13,"13:00",1
"220",20,20,14,"14:00",1
"221",20,20,15,"15:00",1
"222",20,20,16,"16:00",1
"223",20,20,18,"18:00",1
"224",20,20,19,"19:00",1
"225",20,20,20,"20:00",2
"226",20,20,21,"21:00",2
"227",21,21,6,"6:00",1
"228",21,21,7,"7:00",1
"229",21,21,8,"8:00",1
"230",21,21,9,"9:00",1
"231",21,21,10,"10:00",1
"232",21,21,11,"11:00",1
"233",21,21,12,"12:00",1
"234",21,21,13,"13:00",1
